old_id,old_path,new_id,new_path,phase,area,topic
DD-API-005,docs/3.詳細設計(DD)/31.API/DD-API-005.md,DD-APP-API-005,docs/3.詳細設計(DD)/02.アプリ(APP)/21.API詳細(API)/DD-APP-API-005.md,DD,APP,API
DD-API-006,docs/3.詳細設計(DD)/31.API/DD-API-006.md,DD-APP-API-006,docs/3.詳細設計(DD)/02.アプリ(APP)/21.API詳細(API)/DD-APP-API-006.md,DD,APP,API
DD-API-007,docs/3.詳細設計(DD)/31.API/DD-API-007.md,DD-APP-API-007,docs/3.詳細設計(DD)/02.アプリ(APP)/21.API詳細(API)/DD-APP-API-007.md,DD,APP,API
DD-API-008,docs/3.詳細設計(DD)/31.API/DD-API-008.md,DD-APP-API-008,docs/3.詳細設計(DD)/02.アプリ(APP)/21.API詳細(API)/DD-APP-API-008.md,DD,APP,API
DD-API-009,docs/3.詳細設計(DD)/31.API/DD-API-009.md,DD-APP-API-009,docs/3.詳細設計(DD)/02.アプリ(APP)/21.API詳細(API)/DD-APP-API-009.md,DD,APP,API
DD-API-010,docs/3.詳細設計(DD)/31.API/DD-API-010.md,DD-APP-API-010,docs/3.詳細設計(DD)/02.アプリ(APP)/21.API詳細(API)/DD-APP-API-010.md,DD,APP,API
DD-API-011,docs/3.詳細設計(DD)/31.API/DD-API-011.md,DD-APP-API-011,docs/3.詳細設計(DD)/02.アプリ(APP)/21.API詳細(API)/DD-APP-API-011.md,DD,APP,API
DD-API-012,docs/3.詳細設計(DD)/31.API/DD-API-012.md,DD-APP-API-012,docs/3.詳細設計(DD)/02.アプリ(APP)/21.API詳細(API)/DD-APP-API-012.md,DD,APP,API
DD-API-013,docs/3.詳細設計(DD)/31.API/DD-API-013.md,DD-APP-API-013,docs/3.詳細設計(DD)/02.アプリ(APP)/21.API詳細(API)/DD-APP-API-013.md,DD,APP,API
DD-API-014,docs/3.詳細設計(DD)/31.API/DD-API-014.md,DD-APP-API-014,docs/3.詳細設計(DD)/02.アプリ(APP)/21.API詳細(API)/DD-APP-API-014.md,DD,APP,API
DD-API-015,docs/3.詳細設計(DD)/31.API/DD-API-015.md,DD-APP-API-015,docs/3.詳細設計(DD)/02.アプリ(APP)/21.API詳細(API)/DD-APP-API-015.md,DD,APP,API
DD-ARCH-002,docs/3.詳細設計(DD)/11.コンポーネント/DD-ARCH-002.md,DD-APP-MOD-002,docs/3.詳細設計(DD)/02.アプリ(APP)/11.モジュール仕様(MOD)/DD-APP-MOD-002.md,DD,APP,MOD
DD-AV-001,docs/3.詳細設計(DD)/72.可用性/DD-AV-001.md,DD-SYS-AV-001,docs/3.詳細設計(DD)/01.全体構成(SYS)/21.性能・可用性・拡張性(SYSQUAL)/DD-SYS-AV-001.md,DD,SYS,AV
DD-AV-002,docs/3.詳細設計(DD)/72.可用性/DD-AV-002.md,DD-SYS-AV-002,docs/3.詳細設計(DD)/01.全体構成(SYS)/21.性能・可用性・拡張性(SYSQUAL)/DD-SYS-AV-002.md,DD,SYS,AV
DD-CICD-INF-001,docs/3.詳細設計(DD)/13.インフラ詳細(INF)/DD-CICD-INF-001.md,DD-INF-IAC-001,docs/3.詳細設計(DD)/03.インフラ(INF)/11.IaC詳細(IAC)/DD-INF-IAC-001.md,DD,INF,IAC
DD-CODE-001,docs/3.詳細設計(DD)/81.コーディング規約/DD-CODE-001.md,DD-DEV-CODE-001,docs/3.詳細設計(DD)/04.開発(DEV)/51.実装規約(CODE)/DD-DEV-CODE-001.md,DD,DEV,CODE
DD-COMP-001,docs/3.詳細設計(DD)/11.コンポーネント/DD-COMP-001.md,DD-APP-MOD-001,docs/3.詳細設計(DD)/02.アプリ(APP)/11.モジュール仕様(MOD)/DD-APP-MOD-001.md,DD,APP,MOD
DD-COMP-002,docs/3.詳細設計(DD)/11.コンポーネント/DD-COMP-002.md,DD-APP-MOD-003,docs/3.詳細設計(DD)/02.アプリ(APP)/11.モジュール仕様(MOD)/DD-APP-MOD-003.md,DD,APP,MOD
DD-COST-001,docs/3.詳細設計(DD)/73.拡張性/DD-COST-001.md,DD-SYS-COST-001,docs/3.詳細設計(DD)/01.全体構成(SYS)/21.性能・可用性・拡張性(SYSQUAL)/DD-SYS-COST-001.md,DD,SYS,COST
DD-DBCON-001,docs/3.詳細設計(DD)/22.DB制約/DD-DBCON-001.md,DD-APP-DB-001,docs/3.詳細設計(DD)/02.アプリ(APP)/22.DB物理設計(DB)/DD-APP-DB-001.md,DD,APP,DB
